cpu;repository;query;commits;load;run;joined
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/example;authorcommits.yaml;10;1;1;10
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/example;commithash.yaml;10;1;0;10
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/example;howmuchwork.yaml;10;1;1;1
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/example;where.yaml;10;1;1;1
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/example;whochanged.yaml;10;2;2;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/example;whoonlast.yaml;10;2;2;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/git-qtk;authorcommits.yaml;234;1;1;234
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/git-qtk;commithash.yaml;234;1;1;234
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/git-qtk;howmuchwork.yaml;234;1;1;60
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/git-qtk;where.yaml;234;1;1;2
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/git-qtk;whochanged.yaml;234;1;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/imdonix/git-qtk;whoonlast.yaml;234;1;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/Ericsson/CodeCompass;authorcommits.yaml;905;2;2;905
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/Ericsson/CodeCompass;commithash.yaml;905;1;1;905
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/Ericsson/CodeCompass;howmuchwork.yaml;905;2;2;360
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/Ericsson/CodeCompass;where.yaml;905;1;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/Ericsson/CodeCompass;whochanged.yaml;905;1;1;42
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/Ericsson/CodeCompass;whoonlast.yaml;905;1;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/catchorg/Catch2;authorcommits.yaml;4044;4;2;4044
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/catchorg/Catch2;commithash.yaml;4044;4;2;4044
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/catchorg/Catch2;howmuchwork.yaml;4044;4;2;1299
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/catchorg/Catch2;where.yaml;4044;3;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/catchorg/Catch2;whochanged.yaml;4044;3;1;203
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/catchorg/Catch2;whoonlast.yaml;4044;4;2;142
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/vlang/v;authorcommits.yaml;13141;27;2;13141
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/vlang/v;commithash.yaml;13141;26;1;13141
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/vlang/v;howmuchwork.yaml;13141;27;2;3199
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/vlang/v;where.yaml;13141;26;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/vlang/v;whochanged.yaml;13141;26;1;8
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/vlang/v;whoonlast.yaml;13141;26;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/git/git;authorcommits.yaml;66773;210;2;66773
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/git/git;commithash.yaml;66773;210;2;66773
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/git/git;howmuchwork.yaml;66773;210;2;22015
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/git/git;where.yaml;66773;209;1;0
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/git/git;whochanged.yaml;66773;210;4;8289
AMD-Ryzen-5-5500U-with-Radeon-Graphics;https://github.com/git/git;whoonlast.yaml;66773;210;2;279
