cpu;repository;query;commits;load;run;joined
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;authorcommits.yaml;311;2;2;311
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;commithash.yaml;311;1;1;311
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;filechanges.yaml;311;1;1;61
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;howmuchwork.yaml;311;1;0;153
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;where.yaml;311;1;0;2
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;whochanged.yaml;311;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/imdonix/git-qtk;whoonlast.yaml;311;1;0;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;authorcommits.yaml;1495;1;1;1495
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;commithash.yaml;1495;2;2;1495
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;filechanges.yaml;1495;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;howmuchwork.yaml;1495;1;1;594
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;where.yaml;1495;1;0;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;whochanged.yaml;1495;1;1;12
Intel(R)-Core(TM)-i7-14700KF;https://github.com/Ericsson/CodeCompass;whoonlast.yaml;1495;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;authorcommits.yaml;4862;2;2;4862
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;commithash.yaml;4862;1;1;4862
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;filechanges.yaml;4862;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;howmuchwork.yaml;4862;2;2;2524
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;where.yaml;4862;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;whochanged.yaml;4862;1;1;339
Intel(R)-Core(TM)-i7-14700KF;https://github.com/catchorg/Catch2;whoonlast.yaml;4862;1;1;128
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;authorcommits.yaml;20046;2;2;20046
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;commithash.yaml;20046;1;1;20046
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;filechanges.yaml;20046;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;howmuchwork.yaml;20046;2;2;12058
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;where.yaml;20046;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;whochanged.yaml;20046;1;1;18
Intel(R)-Core(TM)-i7-14700KF;https://github.com/vlang/v;whoonlast.yaml;20046;1;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;authorcommits.yaml;80171;6;2;80171
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;commithash.yaml;80171;5;1;80171
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;filechanges.yaml;80171;5;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;howmuchwork.yaml;80171;6;2;21801
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;where.yaml;80171;5;1;0
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;whochanged.yaml;80171;5;1;188
Intel(R)-Core(TM)-i7-14700KF;https://github.com/git/git;whoonlast.yaml;80171;6;2;38
